variable,baseline_mean,baseline_sd,A1_sbeta5_mean,A1_sbeta5_sd,B1_stau2.5_hn_mean,B1_stau2.5_hn_sd,B2_stau2.5_hc_mean,B2_stau2.5_hc_sd
diag1_Neoplasms,-0.5075,0.1472,-0.498,0.1456,-0.5051,0.1483,-0.5036,0.1488
comorbid_neoplasms,0.415,0.1111,0.4077,0.1104,0.4089,0.1137,0.4068,0.1116
diag1_Respiratory,-0.3597,0.0814,-0.3572,0.0794,-0.3582,0.0808,-0.3597,0.0795
A1C_measured,0.352,0.1014,0.3626,0.0995,0.3709,0.0994,0.3573,0.0992
diag1_Other,-0.3469,0.0844,-0.3437,0.0843,-0.3475,0.0829,-0.3475,0.0837
